,label,sentence
6069,shame,"This is an event I will never forget.  I am considered a good á mimic.  This particular day we were waiting for a professor á to take her class.  This  professor had a peculiar accent and a á very horrible way of lecturing and to top it all we had this á class at the fag end of the day.  So this particular day I got á into my element and started imitating the professor, and the á professor entered the class right in the middle of it .  I was á unaware of her presence, some of my friends tried to warn me but á it was of no avail as I was too engrossed in mimicing.  Then I á suddenly noticed the silence and turned around to see her á entering the class.  I do not know till today if she actually saw á what I had been doing or she had completely ignored it.  Through  á out that lecture I died of shame.  All the more shameful was the á fact that she gave me a character certificate. "
4175,fear,"Fights that I see in the middle of the street, robberies, fear of á darkness when going home."
225,joy,When I met an old schhol friend (school love) who works in á Sk+vde.
1385,anger,"I wanted to go to a friend of mine who had a party; at the moment á I wanted to leave, my father said I couldn't go because he needed á me for some work in the afternoon."
6713,joy,"When I passed standard 8 exams I jumped, rolled over the ground."
5239,guilt,When I was scolded by my dad for bad behaviour.
774,guilt,"I had planned a trip to the South during Easter, together with a á friend. She was very sorry when I changed my mind and decided not á to go after all."
1242,guilt,The cat of my landlady escaped through the window which I had á left open.
1808,fear,I was afraid before I went to the doctor's.
4995,sadness,The death of my guardian with whom I had stayed when I did my á grade six.
2201,disgust,I was on a walk with my child when I met a drunk woman.
7261,joy,Talking with a nice girl.
6893,anger,South Korea cheating for gold medals.
2679,sadness,I saw a friend of mine who had suffered a very heavy contusion á after an accident.
648,shame,The day after the night I drank too much at a party.
3530,anger,Most recently when the chairman at the New Zeeland Rugby Union á announced that the All Blacks' would accept the invitation of á South Africa to play rugby in that country.
959,anger,When a girl left me.
7049,anger,I wanted to borrow lecture notes from a friend and he did not á lend me them.
7331,joy,When I read the newspaper that morning I found my candidature á number on the admission list of the Chinese university.  I was á satisfied and happy and the cumulative anxiety disappeared.  I á only wanted to cry out that I had succeeded.
1561,sadness,When my grandmother died.
1705,sadness,I had cared for a horse for 2 years. One day it was sold and I á cried for several days because I was so sad.
2843,guilt,It happens to me quite often. I can't describe a particular case.
4793,disgust,When my best friend started getting involved in my private á affairs.
2607,shame,When I tried to hide a fact from a person for irrelevant reasons á and considered such an attitude childish.
6203,joy,I most joyous moment was the day I got my marks.  I was very á happy when I came to know about my marks at the M.Sc (part I) á examination where I got 71.5%.  This was the highest marks I have á ever scored in my life.
743,anger,"When my father phoned me to come home from my vacation, since he á no longer had the time to look after my garden and animals."
3525,disgust,Watching a TV documentary on seal clubbing.
3897,sadness,When the mother of a good friend of mine died.
5063,fear,"When I was at a boarding school at Lusaka, the Rhodesian á soldiers came to bomb a house near our school and we saw the á whole scene."
1578,fear,Car accident nearly occurred between us and drunk driver coming á in opposite direction it missed us by approx 1 m and collided á (after rolling twice midair) into nearby scrub.
5275,joy,When I passed successive exams to enter the school of medicine.
6365,fear,I was living with my brother and one day he went away on business á and I was left alone to look after the house and the property. At á night thieves came and wanted to break into the house.
2213,fear,"When in a car accident where car was total wipe off (wipe out, or á write off)."
1376,joy,"I won a car in a prize-competition. The moment I was informed á about it, I felt joy."
742,fear,When I almost ran over a small boy who suddenly was in front of á my car.
4754,joy,"My girlfriend wrote to me telling me that she was four months á pregnant and that I was responsible for the \damages\"".  This made á me happy as I longed to have a child to call mine."""
900,guilt,"I often feel guilty, and it has to do with other people, e.g. if á I haven't visited my older relatives for a while."
5868,shame,I did bad on a test I didn't study for.
4130,shame,A few days back I had to ask a professor a ridiculous question á because I had lost at a game of cards and had to pay a forfeit.
6316,fear,When I came to know that my exams were on two successive days and á that there was very little time (about 9-10 hours) to study in á between.
91,joy,At a friend's birthday party with some of my closest friends.  It á was all very pleasant and one could say that I was happy to have á such good friends.
3575,guilt,That I didn't want my friend to leave on holiday for 10 days á because I thought I would miss him. I was constantly trying to á persuade him.
3885,shame,"I was catched when, as a little girl, I played tricks. I was very á startled then and wet my pants."
6916,disgust,A boy in my class talking too loud in the lecture.
1848,guilt,"I was on a visit to friends who have a baby. The baby was crying á in another room, but soon it became quieter and it seemed that it á would fall asleep. I went into the room where the baby was lying á - and it started crying again. "
1807,joy,When we got a young dog.
6389,disgust,I was disgusted with my girlfriend's behaviour. She was going out á with other boys who were also my friends.
4486,shame,"At the seaside, when a wave suddenly came and took off my bikini."
4134,anger,I felt angry when I saw on T.V the last slaughter of negroes in á South Africa.
6757,guilt,I felt guilty because I stole some sweets from my father's á grocery. When he asked me who stole the sweets I told him it was á my brother who stole the sweets and he was scolded.
3831,joy,Sitting alone in a quiet room concentrating on things happening á around me which pleases me.
3713,joy,When my boyfriend once again told me that he loved me after a á period in which he felt very depressive.
2411,joy,It was when a friend took me to a place and gave me as a gift my á astrologycal map with the explanations of a psychologist.
2784,fear,Few years ago my father was very ill. He stayed at a hospital for á a long time. Then I experienced that terrible feeling that I á might lose him.
1363,guilt,When I betrayed my former girlfriend.
2052,anger,"A person ignored my advice, did not pay any attention to what was á saying. She acted as though I wasn't even there. We were doing á group work so everybody had the right to speak yet she just á ignored me. She made me feel insignificant."
246,joy,"An ex-colleague asked me if I was interested in working in their á accounts bureau.  They needed \clever people\"" and he had á \""immediately thought of me.\"""""
561,fear,Once I had to go home on foot at 5 a.m. I had to pass through a á forest and I was going alone.
696,disgust,[ No response.]
5597,guilt,Having an affair with my good friend's best friend. And every time á I see my best friend I feel guilt because we can't tell him.
1874,shame,When my boy-friend left me and I wanted to persuade him to stay.
5312,anger,Being hooted at when I was learning to drive.
3362,anger,Someone who was speeding was forced to slow down when I pulled á out onto the road and proceeded to abuse me at the next set of á traffic lights.
3554,guilt,My mother wants to talk very often about her life. I dislike this á because she always talks negatively about the same people á whatever I do it doesn't help.
5158,disgust,I felt disgusted at my teams poor perfomance prior to league á play.
5256,anger,I had gone on a vacation and my mother left home without leaving á me any thing - money to come back to school.
3673,anger,I was sleeping nicely until in the middle of the night when I became á awake because a friend called me for some (in my opinion) á nonsens reason.
6734,disgust,"Once I offended a friend, instead of her coming to me to ask and á discuss the matter she was just telling other people about it and á say all she could about me."
62,guilt,When one lets friends down
4607,joy,When I first passed a job interview.
2994,fear,Before going to the dentist.
1003,disgust,When I noticed that a nice person was being exploited á economically.
780,shame,"If I don't go to lectures, I often feel ashamed."
489,fear,"A gang of screaming and drunk youths \captured\"" a tram."""
3894,joy,When a friend of me came for an unexpected visit.
2060,sadness,My father died last year after an 8-week severe illness.
981,sadness,"Loneliness, being uncertain of myself in the Autumn."
3054,shame,At an exam in pharmacology I tried to prompt a coleague (she á asked me something) and the assistant professor made me a sharp á remark.
3058,disgust,"Some time ago I was disgusted with the \cleanness\"" of the á refectory of our institute."""
1156,disgust,"While reading Olli Jalonen's new book, the distant, cold and á selfish relationships between people (in the book) made me feel á disgusted."
2988,anger,I was drawn up a statement for an infringement of the traffic á ordinance. In fact I was innocent.
7230,fear,Before the examn.
338,disgust,"At a certain person's lack of cleanliness, at home and á personally."
5022,anger,When I got home I found that the electrical supply had been á disconnected despite my having paid ZESCO the full bill a few  á days earlier.
3458,joy,"Winning a race that I had been training for, for many weeks. á (Running Race)."
6153,shame,"A few months back I had gone to my friend's place and they offered á me tea and coffee.  I do not have the habit of drinking tea or á coffee and so they offered me a glass of milk instead, so I felt ashamed."
4098,fear,"Before an exam which I, finally did not take."
1418,anger,When we rearranged furniture in our flat and got stuck in a á chair.
6133,guilt,I had promised to send something to a friend and it completely á slipped my mind.  I felt guilty for having forgotten.
5892,fear,When I decided to separate from my husband.
1710,fear,"Many years ago I saw the film \Psycho\"" by Hitchcock for the first á time. When I saw the film I was alone and afterwards I hardly á dared to go to bed and hardly was able to sleep."""
835,disgust,"Reading about executions and massacres which happened during á World War II, I felt disgust towards those who did it."
2902,anger,"The doctors from Belogradchik town determined a wrong diagnosis á to my son. A month later, after some complex examinations at ISUL á (A medical institute in Sofia), the diagnosis was categorically rejected."
5269,fear,I was so sick that my relatives thought that I was bewitched.  I á felt like dying.
4766,shame,I was double crossing my fiancee and one day she caught me red á handed.  She forgave me later.  I was very ashamed of what I had á done.
947,disgust,"As a child, when I saw an \unesthetic\"" sight."""
3086,disgust,I am disgusted with the behavior of a car driver whose car would á run over me and my friends during our autumn brigade.
5038,disgust,When I found my girl in bed with another man.
4311,disgust,Some friends and I were having lunch.  Someone said something á funny and one of the guys started laughing and spat his food in a girl's á face.
746,shame,"I was talking badly about a person to some friends, and á discovered that his daughter was listening."
3087,shame,I felt shame when I discontinued my education for eight months. 
239,joy,When my one year old son gives me a spontaneous kiss.
5072,sadness,"My father resigned from work, and soon after this his elder brother á died.  The next day my granny died (my mother's mother).  My dad á remains the only living member of his family."
6721,shame,I failed my Nutrition paper which was the paper ending the á course.
7446,disgust,"During a recent meeting, Mr. A showed his excitement and á overindulged in the notes delivered.  Though his curiosity could á not be blamed, his way of accquiring knowledge was an extreme á behaviour e.g he always tried to know what I was reading and á gained everything he could."
681,sadness,When I found out that I had failed to pass my exams during the á term by one point.  The fact that exactly the same thing had á happened last term did not help.
4905,disgust,"When I saw a woman who had been run over by a train, just off á Kafue.  The woman had been cut to bits, there was blood and        á splinters of bone every where."
1845,sadness,"During my holiday I met again a friend who had tried to commit á suicide. She had just left hospital, her lips were trembling, she á looked miserable."
5694,shame,Doing poorly on an exam that I thought I should do well.
4046,sadness,One night I was called and told that the father of a close friend á died. When I visited my friend at home and when attending the á funeral I felt very sad.
906,shame,Forgot to do some shopping that I had promised to do.
5173,joy,I felt extreme joy the day I was baptized. I was one with God.
2148,guilt,When I let a person assume a fault that I committed.
7026,guilt,Not acting on my promise.
7138,joy,Found out my wife (girl-friend?) pregnant.
3099,sadness,"When you are far away from relatives and friends. I feel sad for á my early years, for the freedom and the carefree years of á childhood."
3548,guilt,"I had made an appointment with a girl to go to the movies, but á actually I had no mind when we arrived at the cinema, it was a á full house. I then went back and she went to the movie alone."
3925,sadness,I had this feeling when my parents distroyed a relationship with á a boy because they thought he was bad and irresponsible.
2130,shame,Felt it after I spoke terribly (got mad at) the person who is the á most important in my life.
6853,disgust,"Waiting for a bus not coming for a long time, and the bus drivers á were having a long lunch."
3938,joy,When my boyfriend and I went out for a dinner and subsequently á went to his family. We had a very nice evening.
7564,sadness,When I found that my ability to do ordinary work was worse than á my fellow mates.
7592,sadness,When I was ill and had to stay at the hospital for a period of á time.  
6111,shame,"When I realized that I belonged to a country which is amongst the á poorest in the world and that inspite of having the resources we á do not utilize them.  I was ashamed at myself and my country, á shame at the lack of parity between the lifestyles of the á citizens."
1801,fear,"Before I went to the urologist's I was afraid for several á reasons: because it was for the first time, because the medical á check-up might be painful, because of the uncertainty and because á someone had informed me about it."
6663,guilt,I had spent the weekend visiting relatives and friends and didn't á study for Anatomy class on Monday.
1021,fear,"While watching TV (a war movie), I felt a strong fear of death, á threat and fear of loosing people close to me."
2985,guilt,I feel this feeling most often before me not before the others. á My outside is iron but actually I'm wasting away.
3102,guilt,I didn't visit a very close friend at the hospital and some days á later he died.
7659,joy,I received a letter from a distant friend.
5142,joy,When I received the acceptance form for the second year at á university.
3456,shame,I told my primary teacher I hadn't done my homework as my mother á was in a car accident. My teacher rang that night to see how my á mother was - she was fine i.e. no accident !
7008,anger,Made a statement that other people did not believe.
385,anger,When my boss enrolled in a course to satisfy his own ends - to á trample on his associates.  I have the misfortune to have one of á my superiors in my course.
2498,fear,"One day, when I realized that I was alone, I felt fear of á loneliness."
4527,disgust,At the hypocrisy of some of my friends.
2973,fear,Before an exam in logics.
3364,disgust,"When someone whom I considered my friend, without telling me he á was annoyed, proceeded to ignore me for several meets with no á apparent reason."
3654,disgust,I lived together with my boyfriend. One night he stayed away and á next day he told me that he had chat up with another girl.
7175,anger,Insulted by other people in the shop.
2880,fear,"I had to have my tonsils out. I had been making up my mind almost á for a year - I was afraid. But during the two hours in the á hospital room, while I was waiting to be called for the operation I á felt a real fear - of the pain, of what they were going to do to á me, of the unknown."
3142,disgust,I feel disgust with my first boyfriend who made fun of our love á in an abominable way.
7332,fear,Tutorial again !  A fearful feeling came to me when I sat on the á chair and looked at my fellow students all around.  I was really á scared that they would ask me some questions or challenge the á ideas that I had presented.
7624,joy,"When two female classmates and I were having lunch, we chatted and  á cracked jokes, I was very happy.  However, I felt that I may have  á said something inappropriate which might cause them to have a bad  á impression of me."
4002,fear,I went to the apartment of my boyfriend and saw some people á before his door. I thought that something had happened.
3776,disgust,When my friend who was drunk insulted me in public for no reason at á all.
4787,shame,I insulted the girl to whom I had proposed when she turned me á down.
2977,shame,I was to take part in a cocktail party on the occasion of our á national holiday as a servant.
4943,joy,When I got myself the kind of girlfriend I had been hunting for a á long time.
5687,shame,I bought a possible answer to a homework problem which was á completely inapplicable to the question due to my not having read á about the subject matter.
1279,fear,"When abroad, while driving a car along a dark, winding road."
7660,fear,My parents were out and I was the eldest at home.  At midnight a á male stranger phoned us and spoke to me in a rough language.  I á hung up and heard someone walking outside our door.
6955,anger,Korean judges cheating.
3091,anger,When on a car journey a fellow student crossed our way with his á own car and we had to bump into a roadside trunk.
2479,sadness,When I knew about my sister's in law finacial situation and what á she was facing.
1571,fear,No really strong such emotion. Just falling off to sleep when I á caught sight of a 5 cm diameter spider crawling onto the pillow á beside me.
4056,guilt,"Once after falling in love, I imagined that particular girl to be á perfect and completely overshadowing my girlfriend. Afterwards I á realized that this image was not objective. I felt guilty against á both girls."
684,guilt,[ No response.]
2959,fear,A fear of lack of personal powers.
1739,anger,"I was angry about how the government acted concerning Hainburg, á especially when I saw a discussion about it on TV."
4621,joy,"When I hooked a girl in Kitwe.  She was very beautiful for my á standards, a rare bird of this kind accepted me as a boyfriend."
4236,guilt,I had an argument with my boyfriend.  It was my fault but my á pride would not let me admit it.
20,guilt,I feel guilty when when I realize that I consider material things á more important than caring for my relatives.  I feel very á self-centered.
3934,sadness,I was very sad when I had to leave persons with whom I had a very á intense relationship I also had to leave the environment which á was part of this.
5046,shame,When I realized that I was pregnant.  I thought about what my á relatives and friends would think about me and I felt a lot of á self pity.
68,shame,My elder brother and I have not always had a good relationship á and I feel ashamed of myself as I do not call him to talk to him á nowadays.
3088,guilt,"The sense of guilt came over me too, when I interrupted my á studies. Why ? Because I felt guilty before my parents ! They á believed in me though this event did not make them disbelieve me."
2527,anger,Without the employer's knowledge and even without any á communication their bank accounts were changed and their personal á accounts closed.
7210,anger,Your prejudice against psychology students and education students á (not allowing us to go to the medical university lectures).
2371,shame,"When my mother looked in my drawer (where I keep my personal á things) and she found some porno photos that I have kept from á more than a week, and split it."
837,guilt,"Borrowing a car, and then having a minor accident (breaking a á headlight)."
42,joy,When I had my children.
5495,fear,Housesitting and hearing the alarm go off. I knew someone had to á be breaking in. I called the police and was panicking while on á the phone. It was awful. It turns out that I stepped on the á hidden alarm without prior knowledge of its existance.
4944,fear,When I was told that the form five results were out.
810,joy,"Receiving a postcard form my sweetheart who was abroad on á vacation, not being at all sure if he would write me or not."
251,shame,[ No response.]
5532,disgust,Saw a scene in a movie implying incest as humorous.
6938,shame,Insulted by somebody.
6028,guilt,"Once I was not able to give a relative, who was in a critical á period, a helping hand.  Whenever I think about it I feel guilty  á for letting down the person who trusted me to give him a helping á hand."
5292,sadness,When I realized that I was in hospital after a car accident and á that I had a scleral tear in my left eye.
4555,disgust, I was at a friend's place for lunch and she fell ill and á vomited.
96,shame,Nearly caught masturbating.
1822,fear,When I had to go through lonely streets in the middle of the á night.
6046,sadness,When I heard the news of the death of my father.  It was in the á evening and I was alone all night in my room trying to remember á the face of my father.
3900,guilt,That I didn't take the time to make an appointment with someone.
5814,joy,"After watching the 49ers lose game after game, year after year, I á was finally rewarded with a Super Bowl victory which made me á extremely happy."
7317,joy,When my application for studying the masters degree was accepted. 
60,disgust,When one learns through the mass media all the wars and killing á going on in the world.
7242,guilt,A friend came to visit me and I was not there.
2677,fear,"I woke up in the middle of the night of a nightmare, I was alone, á it was very quiet and very dark."
7450,fear,An inter-college basket-ball match.
5291,anger,When I learnt that my younger sister had been expelled from á secondary school because she was pregnant.  That was the second á time that this happened in the family - the first time it had á been my elder sister.
1208,joy,"[ During inter-rail-trip, after troubles, I met my little á sister.]"
3948,sadness,A very close friend of mine died. I read it in the newspaper. I á didn't know what to do and thought about it the whole day.
2233,joy,"When I achieved my first 6 at University after a long string of á 3's, 4's and 5's (7 is the highest mark awarded, 3 is a conceded á pass)."
328,fear,When I was in a little fishing boat and we ran into hard weather á in the open sea.
7600,disgust,"I had a friend who was very kind to me.  I tried my best to like á him and understand him but when I was with him I could not help á rejecting, criticizing and blaming him.  I wanted to get away á from him as soon as possible."
3511,disgust,One of my very good friends came to me for advice as her á boyfriend had been hitting her and beating her quite harmfully.
4876,sadness,The day my teacher of Latin and French died.
320,joy,When my son returned from mountaineering - healthy in body and á soul.
3187,joy,"When I meet old past pupils of mine - and find they are all doing á well - I feel joy. Yesterday I met a young woman (20 yrs) I'd á taught her at 6 yrs, then at 12 yrs and hadn't seen her for last á 3-4 yrs; she was no longer a waitress but a meter maid for á Council."
6230,shame,When I had not done well in Geography at my MCE I was expected to á get more than I did.
6369,shame,It was my father's birthday party when I was asked to bring a á tray of tea and other drinks.
5397,guilt,When I could not fulfill my expectations.
2429,disgust,"I was travelling, we were 15 person, one of them I met at the á travel and didn't like her. One night I was asleep while she and á her friends were talking too loud in the kitchen. I got up to ask for á silence and since that day I felt constant disgust for her."
767,guilt,I failed to complete a working task within the agreed time.
1424,fear,"My girlfriend and I slept in a lonely hut (we had drunk alcool). á Suddenly some soil fell on us, then some water. Although we tried á hard, we could not find out the cause."
5266,shame,I had a misunderstanding with my father and after some time I á found that I had been wrong.
2599,disgust,I was working in a classmate's house with a group. A girl began á to graze her foot against mine under the table.
2081,sadness,"I broke up with my boyfriend of seven months, but it was a very á \indepth\"" relationship and so after feelings of grief and loss á were over I felt an immense sadness."""
3281,shame,While intoxicated I invaded someone's (a girl's) personal space á to a large extent.
3562,joy,I can't give one description here. I often feel joyful when I á have done things good in relation to other people especially when á my friend says he loves me and I also tell him that I love him.
6416,sadness,I felt sad when I was told to walk out of the classroom because I á was within the row of students who were making noise.
6472,disgust,"I was disgusted when I was told to dress a big rotten stinky á wound which, coming closer, made me feel like vomitting."
1019,guilt,"I did not go to the exercises, without any adequate reason."
3935,disgust,I felt disgust after watching a picture on television about á torturing political prisoners in India (this happened in the á India of Indira Ghandi).
4868,anger,"When my room-mate locked me out deliberately, before an exam due á at 1400 hours."
1944,guilt,"My mother and father had forbidden me to ride my scooter on the á road, and I had transgressed (together with the \wild\"" kids from á across the street) by riding my scooter down a steep hill near á our house. My mother sent the boy next door to collect me, and I á was severely scolded."""
4758,disgust,This happened when I went to visit my friend in Chelston and á found him screwing my girlfriend.
6578,shame,I answered a certain question from Dr. Maqgda wrongly. She asked á something about Femur and my answer was saying something á concerning the brain. So I was very ashamed amongst my friends.
382,guilt,When my husband talked about the restrictions he will have to á accept in his life to make our marriage work.  I felt that it was á directed at me as it was me who had demanded the changes.  We á were with a marriage counsellor then.
7067,guilt,A friend asked to borrow my notes and I did not give them away á (my notes too badly written)
3273,guilt,"I felt that I contributed to a possible rift in the relationship á between a boy and girl soon to be married, in my flat after I á moved in. After stating my celibacy to him which she overheard á and didn't previously know about I suspect."
788,guilt,"When I secretly tried smoking for the first time, being 12 years á old."
1499,guilt,"I allowed my little brother to clean the bathroom in his own way. á My mother came and saw the floor overflowed with water, slapped á my brother in the face and told him to go to bed immediately."
2110,disgust,"When walking along the beach with my boyfriend, we saw 2 people á having sex on the sand dunes in full view of everyone. It was the á fact that they chose that area in which to have sex, that á disgusted me."
279,fear,Someone attacked me with a knife.
5513,guilt,Getting a D in a class last semester and knowing it was because I á didn't study.
3539,disgust,When I heard about the disaster in Bophal (India).
801,shame,"My father died after two very painful weeks in bed. I felt á relieved, and was ashamed of that."
4427,anger,When I learned that several people had died in the street due to  á the cold weather.
2323,guilt,When my ex-boyfriend didn't want to sleep with me anymore and I á insisted. We made love but he felt very badly and I felt guilty.
6311,sadness,"After studying a lot for my H.S.C exams, I could not make it to á the medical stream and I felt sad about this."
6649,guilt,I felt guilty when I was found to be the chief leader of making á noise in class.
5975,anger,I am separated from my husband.  The way he has behaved towards á me makes me angry.
644,fear,"Earlier, I was afraid of speaking in front of a crowd of people."
4756,anger,"I went to the dining hall and found that the cooks were cleaning á the plates and there was no food for me, and the blue birds  á (security guards) were busy eating the food that was supposed to á be for me."
5124,guilt,I told my elder brother that he was irresponsible and that I did á not care for what he did because he was teasing me.
5251,disgust,When a student accused me of having stolen his textbook  as he á had found a form bearing my name in his other books and all my á explanations fell on deaf ears.
7174,fear,Hearing a strange noise in the biology building.
6119,guilt,"At times I have been attracted to conducts which are socially á degraded due to their ill consequences, and then I feel guilty."
23,anger,When a car is overtaking another and I am forced to drive off the á road.
2706,disgust,I felt dusgust with a self-iterested person who ruined the life á of another by means of utterly unfair methods.
7097,fear,Thinking about death when walking alone at night.
2462,joy,I had a friend who I didn't see for a long time. We had a á relationship from much union and interaction. It was more that á one year that I didn't see her. She appeared in my home and we á talked.
4291,shame,"My mother had just been teaching me how to crochet, which is á thought highly improper for a boy in a town.  Just when we á finished, a neighbour walked in."
3065,disgust,"It was at a comsomol(??) meeting, the last one because we were to á graduate. The way one of my fellow-students behaved made me feel á disgusted."
2341,sadness,"During an informal talk with a friend when we talk about the life á of another person, a common friend, that is in a situation of not á being able to assume certain problems that he decided to solve, á that is, she herself suggested the problems and decided to solve á them but didn't get it until the moment."
4095,shame,"I met a friend in a discotheque. he was with a girl and he told á me that she was not his girlfriend.  I, to say something, á commented that she must be a viscious woman.  He then told me á that she was his girl."
5109,shame,When I told a lie to a friend of my sister on April fool's day.  á She later came to see me and told me that it was a very foolish á thing to do.
6431,disgust,I was disgusted when my brother was arrested because of stealing á money.
5881,disgust,I felt disgusted while studying for my applied psychology and á mental testing papers in B.A.
7125,fear,Finding out the great difference between China and the West in á science.
2534,anger,"A ex-boyfriend tried to prejudice me before my fiancT and his á family saying things about me that let his family worried. We had á to postpone our wedding and we were already using our wedding á rings. To be honest I didn't feel just anger, I felt hate."
2968,sadness,At a prolonged separation with my family.
6947,joy,Joining in a research group studying consumer's behaviour and á helping the people in the shop with the sales.
682,disgust,"When I was touring Asia with my present football team, I saw old á Europeans with young asiatic prostitutes."
